Month,County,Sales,Year,Population,Sales per capita
2015-10-01,Adams,2446592.0,2015,489923,4.993829642617309
2015-10-01,Arapahoe,5728782.0,2015,629066,9.106805963126286
2015-10-01,Boulder,4777912.0,2015,318570,14.997997300436325
2015-10-01,Chaffee,325900.0,2015,18603,17.518679782830727
2015-10-01,Clear Creek,419695.0,2015,9392,44.686435264054516
2015-10-01,Denver,19085375.0,2015,680658,28.039595509051537
2015-10-01,Eagle,590827.0,2015,53320,11.080776444111027
2015-10-01,Garfield,872142.0,2015,57779,15.094446079025252
2015-10-01,Gilpin,185948.0,2015,5824,31.927884615384617
2015-10-01,Grand,166746.0,2015,14602,11.419394603478976
2015-10-01,Jefferson,3091341.0,2015,564619,5.475092053225272
2015-10-01,La Plata,1541740.0,2015,54857,28.104708606011993
2015-10-01,Larimer,2885257.0,2015,332830,8.66886098007992
2015-10-01,Las Animas,1035512.0,2015,14061,73.64426427707845
2015-10-01,Montezuma,627049.0,2015,26129,23.9982012323472
2015-10-01,Park,201525.0,2015,16716,12.055814788226849
2015-10-01,Pitkin,443764.0,2015,17845,24.86769403194172
2015-10-01,Pueblo,1710792.0,2015,163196,10.48305105517292
2015-10-01,Routt,563187.0,2015,24310,23.16688605512135
2015-11-01,Adams,2426969.0,2015,489923,4.953776409762351
2015-11-01,Arapahoe,5485411.0,2015,629066,8.719929228411646
2015-11-01,Boulder,4312311.0,2015,318570,13.536462943780016
2015-11-01,Chaffee,257406.0,2015,18603,13.836800516045798
2015-11-01,Clear Creek,382303.0,2015,9392,40.70517461669506
2015-11-01,Denver,17834233.0,2015,680658,26.20145947010099
2015-11-01,Eagle,608573.0,2015,53320,11.413597149287321
2015-11-01,Garfield,706287.0,2015,57779,12.223939493587636
2015-11-01,Gilpin,165186.0,2015,5824,28.36298076923077
2015-11-01,Grand,149468.0,2015,14602,10.2361320367073
2015-11-01,Gunnison,250041.0,2015,16097,15.533391315151892
2015-11-01,Jefferson,2816172.0,2015,564619,4.9877386343711425
2015-11-01,La Plata,1192549.0,2015,54857,21.739231091747634
2015-11-01,Larimer,2561270.0,2015,332830,7.69543009945017
2015-11-01,Las Animas,850923.0,2015,14061,60.516535097077025
2015-11-01,Montezuma,528833.0,2015,26129,20.239312641126716
2015-11-01,Park,168909.0,2015,16716,10.104630294328787
2015-11-01,Pitkin,348178.0,2015,17845,19.51123564023536
2015-11-01,Pueblo,1447179.0,2015,163196,8.867735728816882
2015-11-01,Routt,437492.0,2015,24310,17.996380090497738
2015-12-01,Adams,2706310.0,2015,489923,5.523949681888786
2015-12-01,Arapahoe,6055214.0,2015,629066,9.625721307462173
2015-12-01,Boulder,4621551.0,2015,318570,14.507175816931914
2015-12-01,Clear Creek,492005.0,2015,9392,52.38554088586031
2015-12-01,Denver,19339032.0,2015,680658,28.412259901448305
2015-12-01,Eagle,948426.0,2015,53320,17.787434358589646
2015-12-01,Garfield,801776.0,2015,57779,13.87659876425691
2015-12-01,Gilpin,145319.0,2015,5824,24.951751373626372
2015-12-01,Grand,274910.0,2015,14602,18.82687303109163
2015-12-01,Gunnison,365817.0,2015,16097,22.725787413803815
2015-12-01,Jefferson,3153194.0,2015,564619,5.584640261840285
2015-12-01,La Plata,1460381.0,2015,54857,26.62159797291139
2015-12-01,Larimer,2818206.0,2015,332830,8.467403779707357
2015-12-01,Las Animas,921083.0,2015,14061,65.50622288599673
2015-12-01,Montezuma,559469.0,2015,26129,21.41180297753454
2015-12-01,Park,188927.0,2015,16716,11.302165589854033
